[Czas: 16:24:01.694]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 16:24:02.009]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920338] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.014]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920347] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.014]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920348] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.014]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920349] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.014]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920350] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.014]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920351] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920352] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920353] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920354] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920355] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920356] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920357] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
