[Czas: 15:55:19.777]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:55:21.054]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897606] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 15:55:21.101]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897613] treść nr: 10
[Czas: 15:55:21.101]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897613] treść nr: 45
[Czas: 15:55:21.101]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897613] treść nr: 14
[Czas: 15:55:21.101]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897613] treść nr: 31
[Czas: 15:55:21.102]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897613] treść nr: 9
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897613] |	 Wynik cząstkowy: 42
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897613] |	 Wynik cząstkowy: 85
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897613] |	 Wynik cząstkowy: 38
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897613] |	 Wynik cząstkowy: 5
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897613] |	 Wynik cząstkowy: 68
[Czas: 15:55:21.299]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897613] |	 ZDAŁ A (-> B) |	 Wynik: 47.60 pkt
[Czas: 15:55:21.300]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897614] treść nr: 17
[Czas: 15:55:21.300]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897614] treść nr: 16
[Czas: 15:55:21.300]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897614] treść nr: 5
[Czas: 15:55:21.300]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897614] treść nr: 48
[Czas: 15:55:21.300]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897614] treść nr: 18
[Czas: 15:55:21.301]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897614] |	 Wynik cząstkowy: 40
[Czas: 15:55:21.301]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897614] |	 Wynik cząstkowy: 19
[Czas: 15:55:21.301]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897614] |	 Wynik cząstkowy: 55
[Czas: 15:55:21.301]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897614] |	 Wynik cząstkowy: 75
