[Czas: 15:43:16.380]	[Kandydat] [PID: 889244]	 Zostałem utworzony i nie mam zdanej matury.
[Czas: 15:43:16.382]	[Kandydat] [PID: 889253]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.383]	[Kandydat] [PID: 889254]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.384]	[Kandydat] [PID: 889255]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.386]	[Kandydat] [PID: 889256]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.388]	[Kandydat] [PID: 889257]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.389]	[Kandydat] [PID: 889258]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.390]	[Kandydat] [PID: 889259]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.392]	[Kandydat] [PID: 889260]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.393]	[Kandydat] [PID: 889261]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.395]	[Kandydat] [PID: 889262]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.396]	[Kandydat] [PID: 889263]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.398]	[Kandydat] [PID: 889264]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.399]	[Kandydat] [PID: 889265]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.401]	[Kandydat] [PID: 889266]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.402]	[Kandydat] [PID: 889267]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.404]	[Kandydat] [PID: 889268]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.405]	[Kandydat] [PID: 889269]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.407]	[Kandydat] [PID: 889270]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.408]	[Kandydat] [PID: 889271]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.410]	[Kandydat] [PID: 889272]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.411]	[Kandydat] [PID: 889273]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.413]	[Kandydat] [PID: 889274]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.414]	[Kandydat] [PID: 889275]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.416]	[Kandydat] [PID: 889276]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.417]	[Kandydat] [PID: 889277]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.418]	[Kandydat] [PID: 889278]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.420]	[Kandydat] [PID: 889279]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.421]	[Kandydat] [PID: 889280]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.422]	[Kandydat] [PID: 889281]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.424]	[Kandydat] [PID: 889282]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.425]	[Kandydat] [PID: 889283]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.427]	[Kandydat] [PID: 889284]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.428]	[Kandydat] [PID: 889285]	 Zostałem utworzony i mam zdaną mature.
[Czas: 15:43:16.430]	[Kandydat] [PID: 889286]	 Zostałem utworzony i mam zdaną mature.
