[Czas: 12:04:22.625]	[Dziekan] [PID: 410355] Rekrutacja otwarta. Generuję komisje 
[Czas: 12:04:22.626]	[Dziekan] [PID: 410355] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 12:04:24.206]	[Dziekan] [PID: 410355] Utworzono 1000 kandydatów. Czekają w kolejce FIFO.
[Czas: 12:04:24.207]	[Dziekan] [PID: 410355] Czekam na godzinę T 5...
[Czas: 12:04:29.207]	[Dziekan] [PID: 410355] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 12:04:29.207]	[Dziekan] [PID: 410355] Kandydat [PID: 410358] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.234]	[Dziekan] [PID: 410355] Kandydat [PID: 410367] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 12:04:29.315]	[Dziekan] [PID: 410355] Kandydat [PID: 410368] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.345]	[Dziekan] [PID: 410355] Kandydat [PID: 410369] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410370] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410371] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410372] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410373] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410374] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.346]	[Dziekan] [PID: 410355] Kandydat [PID: 410375] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410376] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410377] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410378] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410379] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410380] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.347]	[Dziekan] [PID: 410355] Kandydat [PID: 410381] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.348]	[Dziekan] [PID: 410355] Kandydat [PID: 410382] skierowany do komisji A [PID: 410356]
[Czas: 12:04:29.348]	[Dziekan] [PID: 410355] Kandydat [PID: 410383] skierowany do komisji A [PID: 410356]
