[Czas: 11:54:57.876]	[Dziekan] [PID: 316757] Rekrutacja otwarta. Generuję komisje 
[Czas: 11:54:57.877]	[Dziekan] [PID: 316757] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 11:54:59.861]	[Dziekan] [PID: 316757] Utworzono 1000 kandydatów. Czekają w kolejce FIFO.
[Czas: 11:54:59.861]	[Dziekan] [PID: 316757] Czekam na godzinę T 5...
[Czas: 11:55:04.862]	[Dziekan] [PID: 316757] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 11:55:04.862]	[Dziekan] [PID: 316757] Kandydat [PID: 316760] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316768] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316769] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316771] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316772] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316773] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.886]	[Dziekan] [PID: 316757] Kandydat [PID: 316774] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316775] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316776] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316777] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316778] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316779] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316780] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316781] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316782] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316783] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316784] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316785] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316786] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.887]	[Dziekan] [PID: 316757] Kandydat [PID: 316787] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316788] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316789] skierowany do komisji A [PID: 316758] |	 Kandydat zdał teorię wcześniej
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316790] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316791] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316792] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316793] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316794] skierowany do komisji A [PID: 316758] |	 Kandydat zdał teorię wcześniej
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316795] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316796] skierowany do komisji A [PID: 316758]
[Czas: 11:55:04.888]	[Dziekan] [PID: 316757] Kandydat [PID: 316797] skierowany do komisji A [PID: 316758]
