[Czas: 15:53:25.727]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:53:28.026]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892426] treść nr: 34
[Czas: 15:53:28.027]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892426] treść nr: 33
[Czas: 15:53:28.027]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892426] treść nr: 2
[Czas: 15:53:28.027]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892426] treść nr: 50
[Czas: 15:53:28.027]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892426] treść nr: 32
[Czas: 15:53:28.257]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892426] |	 Wynik cząstkowy: 45
[Czas: 15:53:28.257]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892426] |	 Wynik cząstkowy: 82
[Czas: 15:53:28.257]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892426] |	 Wynik cząstkowy: 17
[Czas: 15:53:28.257]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892426] |	 Wynik cząstkowy: 52
[Czas: 15:53:28.257]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892426] |	 Wynik cząstkowy: 22
[Czas: 15:53:28.259]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892426] |	 ZDAŁ A (-> B) |	 Wynik: 43.60 pkt
[Czas: 15:53:28.259]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892434] treść nr: 12
[Czas: 15:53:28.259]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892434] treść nr: 37
