[Czas: 15:43:16.381]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 15:43:18.945]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889253] treść nr: 2
[Czas: 15:43:18.946]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889253] treść nr: 12
[Czas: 15:43:18.946]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889253] treść nr: 40
[Czas: 15:43:19.147]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889253] |	 Wynik cząstkowy: 72
[Czas: 15:43:19.147]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889253] |	 Wynik cząstkowy: 63
[Czas: 15:43:19.147]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889253] |	 Wynik cząstkowy: 10
[Czas: 15:43:19.147]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889253] |	 ZDAŁ B |	 Wynik: 48.33 pkt
[Czas: 15:43:19.148]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889254] treść nr: 24
[Czas: 15:43:19.149]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889254] treść nr: 29
[Czas: 15:43:19.149]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889254] treść nr: 20
[Czas: 15:43:19.350]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889254] |	 Wynik cząstkowy: 44
[Czas: 15:43:19.350]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889254] |	 Wynik cząstkowy: 67
[Czas: 15:43:19.350]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889254] |	 Wynik cząstkowy: 94
[Czas: 15:43:19.350]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889254] |	 ZDAŁ B |	 Wynik: 68.33 pkt
[Czas: 15:43:19.351]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889255] treść nr: 16
[Czas: 15:43:19.351]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889255] treść nr: 24
[Czas: 15:43:19.351]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889255] treść nr: 5
[Czas: 15:43:19.552]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889255] |	 Wynik cząstkowy: 17
[Czas: 15:43:19.553]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889255] |	 Wynik cząstkowy: 57
[Czas: 15:43:19.552]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889255] |	 Wynik cząstkowy: 91
[Czas: 15:43:19.553]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889255] |	 ZDAŁ B |	 Wynik: 55.00 pkt
