[Czas: 17:03:14.485]	[Dziekan] [PID: 8646] Rekrutacja otwarta. Generuję komisje 
[Czas: 17:03:14.486]	[Dziekan] [PID: 8646] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 17:03:16.787]	[Dziekan] [PID: 8646] Utworzono 1200 kandydatów. Czekają w kolejce FIFO.
[Czas: 17:03:16.787]	[Dziekan] [PID: 8646] Czekam na godzinę T 3...
[Czas: 17:03:16.787]	[Dziekan] [PID: 8646] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 17:03:16.787]	[Dziekan] [PID: 8646] Kandydat [PID: 8649] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.933]	[Dziekan] [PID: 8646] Kandydat [PID: 8655] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8659] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8660] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8661] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8662] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8663] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8664] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.959]	[Dziekan] [PID: 8646] Kandydat [PID: 8665] skierowany do komisji A [PID: 8647] |	 Kandydat zdał teorię wcześniej
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8666] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8667] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8668] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8669] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8670] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8671] skierowany do komisji A [PID: 8647] |	 Kandydat zdał teorię wcześniej
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8672] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8673] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8674] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8675] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8676] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8677] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8678] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8679] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.960]	[Dziekan] [PID: 8646] Kandydat [PID: 8680] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8681] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8682] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8683] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8684] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8685] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8686] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8687] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8688] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8689] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8690] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8691] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8692] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8693] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8694] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.961]	[Dziekan] [PID: 8646] Kandydat [PID: 8695] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8696] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8697] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8698] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8699] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8700] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8701] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8702] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8703] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8704] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8705] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8706] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8707] skierowany do komisji A [PID: 8647]
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8708] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:03:16.962]	[Dziekan] [PID: 8646] Kandydat [PID: 8709] skierowany do komisji A [PID: 8647]
[Czas: 17:03:17.105]	[Dziekan] [PID: 8646] Kandydat [PID: 8710] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8711] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8712] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8713] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8714] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8715] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8716] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8717] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.072]	[Dziekan] [PID: 8646] Kandydat [PID: 8718] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8719] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8720] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8721] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8722] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8723] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.073]	[Dziekan] [PID: 8646] Kandydat [PID: 8724] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8725] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8726] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8727] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8728] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8729] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8730] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8731] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.074]	[Dziekan] [PID: 8646] Kandydat [PID: 8732] skierowany do komisji A [PID: 8647] |	 Kandydat zdał teorię wcześniej
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8733] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8734] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8735] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8736] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8737] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8738] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8739] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.075]	[Dziekan] [PID: 8646] Kandydat [PID: 8740] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8741] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8742] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8743] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8744] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8745] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8746] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.076]	[Dziekan] [PID: 8646] Kandydat [PID: 8747] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.079]	[Dziekan] [PID: 8646] Kandydat [PID: 8748] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.085]	[Dziekan] [PID: 8646] Kandydat [PID: 8749] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.088]	[Dziekan] [PID: 8646] Kandydat [PID: 8750] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.091]	[Dziekan] [PID: 8646] Kandydat [PID: 8751] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.093]	[Dziekan] [PID: 8646] Kandydat [PID: 8752] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.116]	[Dziekan] [PID: 8646] Kandydat [PID: 8753] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.122]	[Dziekan] [PID: 8646] Kandydat [PID: 8754] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.126]	[Dziekan] [PID: 8646] Kandydat [PID: 8755] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.130]	[Dziekan] [PID: 8646] Kandydat [PID: 8756] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.131]	[Dziekan] [PID: 8646] Kandydat [PID: 8757] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.131]	[Dziekan] [PID: 8646] Kandydat [PID: 8758] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.131]	[Dziekan] [PID: 8646] Kandydat [PID: 8759] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8760] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8761] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8762] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8763] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8764] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8765] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8766] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8767] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.132]	[Dziekan] [PID: 8646] Kandydat [PID: 8768] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.133]	[Dziekan] [PID: 8646] Kandydat [PID: 8769] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:09:25.133]	[Dziekan] [PID: 8646] Kandydat [PID: 8770] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.133]	[Dziekan] [PID: 8646] Kandydat [PID: 8771] skierowany do komisji A [PID: 8647]
[Czas: 17:09:25.133]	[Dziekan] [PID: 8646] Kandydat [PID: 8772] skierowany do komisji A [PID: 8647]
